Tags,Source,Info #,Material group,Material type,Manufacturer,Core (or Grain) size (nm),Hydrodynamic size (nm),Size distribution,Surface charge (mV),Surface Area (m^2/g),Shape,Assay method,Cell line (or type),Cell line species,IC origin,Exposure time,Dose (ug/ml),Toxicity value (%)
,article,29069613,Metal,Au,,69,,,,,,OECD 202,,Daphnia magna,,48 h,50,60
,article,29069613,Metal,Au,,69,,,,,,OECD 202,,Daphnia magna,,24 h,,
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,HeLa,Human,Cervix,48 h,0.001,100
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,HeLa,Human,Cervix,48 h,0.01,96.03
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,HeLa,Human,Cervix,48 h,0.02,89.588
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,HeLa,Human,Cervix,48 h,0.03,75.5056
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,HeLa,Human,Cervix,48 h,0.04,68.1648
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,HeLa,Human,Cervix,48 h,0.05,55.7303
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,HeLa,Human,Cervix,48 h,0.06,47.6404
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,MDCK,Dog,Kidney,48 h,0.001,100
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,MDCK,Dog,Kidney,48 h,0.01,99.3258
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,MDCK,Dog,Kidney,48 h,0.02,98.2772
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,MDCK,Dog,Kidney,48 h,0.03,97.6779
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,MDCK,Dog,Kidney,48 h,0.04,94.0824
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,MDCK,Dog,Kidney,48 h,0.05,91.236
,article,26985734,Oxide,ZnO,Self-synthesized,10,,,,,Irregular,SRB,MDCK,Dog,Kidney,48 h,0.06,90.4869
,article,27317967,Oxide,ZnO,Sigma Aldrich,52.5,196,,,,Sphere,MTT,LoVo,Human,Colon,24 h,0,100
,article,27317967,Oxide,ZnO,Sigma Aldrich,52.5,196,,,,Sphere,MTT,LoVo,Human,Colon,24 h,5,75.1832
,article,27317967,Oxide,ZnO,Sigma Aldrich,52.5,196,,,,Sphere,MTT,LoVo,Human,Colon,24 h,10,56.1257
,article,28749469,Oxide,ZnO,Sigma Aldrich,50,278.8,,-11.5,,Sphere,MTS,A549,Human,Lung,24 h,0,100
,article,28749469,Oxide,ZnO,Sigma Aldrich,50,278.8,,-11.5,,Sphere,MTS,A549,Human,Lung,24 h,10,97.5854
,article,28749469,Oxide,ZnO,Sigma Aldrich,50,278.8,,-11.5,,Sphere,MTS,A549,Human,Lung,24 h,30,69.1572
,article,28749469,Oxide,ZnO,Sigma Aldrich,50,278.8,,-11.5,,Sphere,MTS,A549,Human,Lung,24 h,100,16.1276
,article,28749469,Oxide,ZnO,Sigma Aldrich,50,278.8,,-11.5,,Sphere,MTS,A549,Human,Lung,12 h,0,100
,article,28749469,Oxide,ZnO,Sigma Aldrich,50,278.8,,-11.5,,Sphere,MTS,A549,Human,Lung,12 h,10,97.3121
,article,28749469,Oxide,ZnO,Sigma Aldrich,50,278.8,,-11.5,,Sphere,MTS,A549,Human,Lung,12 h,30,87.7449
,article,28749469,Oxide,ZnO,Sigma Aldrich,50,278.8,,-11.5,,Sphere,MTS,A549,Human,Lung,12 h,100,61.2301
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,48 h,0,100
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,48 h,5,88.1053
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,48 h,15,79.4211
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,48 h,25,58.1053
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,48 h,50,69.3158
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,48 h,75,54.9474
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,48 h,100,53.8421
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,24 h,0,100
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,24 h,5,79.7368
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,24 h,15,80.5263
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,24 h,25,77.6842
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,24 h,50,73.1053
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,24 h,75,69
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,24 h,100,71.8421
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,3 h,0,100
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,3 h,5,90.4737
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,3 h,15,74.2105
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,3 h,25,80.8421
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,3 h,50,69.7895
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,3 h,75,67.4211
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,NRU,HEK-293,Human,Kidney,3 h,100,62.8421
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,48 h,0,100
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,48 h,5,101.4719
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,48 h,15,96.4502
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,48 h,25,95.2381
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,48 h,50,55.7576
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,48 h,75,28.0519
