Tags,Source,Info #,Material group,Material type,Manufacturer,Core (or Grain) size (nm),Hydrodynamic size (nm),Size distribution,Surface charge (mV),Surface Area (m^2/g),Shape,Assay method,Cell line (or type),Cell line species,IC origin,Exposure time,Dose (ug/ml),Toxicity value (%)
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,25,19.6255
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,1,86.0465
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,5,74.7287
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,10,63.1008
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,15,45.1163
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,25,11.938
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,1,89.1473
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,5,77.3643
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,10,68.6822
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,15,49.9225
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,25,12.8682
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,1,90.6977
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,5,84.4961
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,10,72.2481
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,15,61.8605
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,25,18.1395
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,1,89.0613
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,5,85.3066
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,10,80.6508
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,15,72.2403
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,25,9.4618
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,1,96.5707
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,5,87.8598
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,10,81.5519
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,15,76.4456
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,25,15.3191
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,1,96.7209
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,5,89.2115
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,10,88.1602
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,15,77.9474
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,25,19.224
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,1,83.7582
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,5,69.251
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,10,53.7976
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,15,32.0368
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,25,5.23
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,1,86.4389
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,5,75.0854
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,10,60.2628
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,15,41.3403
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,25,8.8568
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,1,89.1196
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,5,78.2392
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,10,67.3587
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,15,51.4323
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,25,13.7451
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,1,93.4815
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,5,77.9259
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,10,76.4444
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,15,62.6667
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,25,8.2963
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,1,94.6667
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,5,80.1481
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,10,76.8889
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,15,63.8518
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,25,12.4444
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,1,96.1481
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,5,85.4815
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,10,76.8889
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,15,64.5926
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,25,17.3333
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,6.72,81.6
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,13.45,80.8
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,100,73.12
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,500,36.16
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,2000,3.84
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,6.72,98.56
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,13.45,87.04
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,100,76.8
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,500,36.16
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,2000,3.84
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,6.72,99.36
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,13.45,90.24
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,100,85.12
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,500,51.36
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,2000,12.64
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,6.72,96.7187
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,13.45,94.6875
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,100,72.3437
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,500,36.25
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,2000,5.4688
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,6.72,98.9063
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,13.45,97.6562
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,100,76.7187
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,500,38.4375
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,2000,5.4688
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,6.72,93.9062
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,13.45,93.9062
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,100,90.4687
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,500,67.8125
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,2000,26.5625
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,0.84,98.8976
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,1.68,94.8032
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,3.36,81.8898
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,6.82,29.6063
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,72 h,13.45,2.5197
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,0.84,98.1102
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,1.68,96.6929
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,3.36,84.4094
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,6.72,30.8661
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,48 h,13.45,4.4094
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,0.84,99.3701
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,1.68,97.6378
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,3.36,85.9843
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,6.72,50.7087
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,LDH,HPFs,Human,Lung,24 h,13.45,8.189
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,0.84,89.396
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,1.68,84.7248
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,3.36,71.3557
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,6.72,36.7248
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,72 h,13.45,5.6376
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,0.84,91.8121
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,1.68,85.2081
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,3.36,76.5101
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,6.72,37.5302
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,48 h,13.45,5.7987
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,0,100
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,0.84,91.8121
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,1.68,83.9195
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,3.36,79.2483
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,6.72,55.7315
,article,25798650,Metal,Ag,Nanogap Subparticles,4.7,,,,,,MTT,HPFs,Human,Lung,24 h,13.45,15.1409
,article,25791752,Metal,Au,Sigma Aldrich,24.5,,,,,Rod,WST,A549,Human,Lung,4 h,0,100
,article,25791752,Metal,Au,Sigma Aldrich,24.5,,,,,Rod,WST,A549,Human,Lung,4 h,2.5,96.8528
,article,25791752,Metal,Au,Sigma Aldrich,24.5,,,,,Rod,WST,A549,Human,Lung,4 h,5,69.2386
,article,25791752,Metal,Au,Sigma Aldrich,24.5,,,,,Rod,WST,A549,Human,Lung,4 h,7.5,21.9289
,article,25791752,Metal,Au,Sigma Aldrich,24.5,,,,,Rod,WST,A549,Human,Lung,4 h,10,14.8223
,article,25791752,Metal,Au,Sigma Aldrich,24.5,,,,,Rod,WST,A549,Human,Lung,4 h,12.5,7.5127
,article,25791752,Metal,Au,Sigma Aldrich,24.5,,,,,Rod,WST,A549,Human,Lung,4 h,15,6.9036
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.1,95.6652
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.2,90.8819
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.4,67.2646
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.8,46.6368
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.1,95.5224
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.2,92.5373
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.4,81.4925
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.8,54.3284
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.1,98.8131
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.2,86.6469
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.4,89.911
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.8,9.4956
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,LDH,BEAS-2B,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,LDH,BEAS-2B,Human,Lung,24 h,0.1,103.2967
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,LDH,BEAS-2B,Human,Lung,24 h,0.2,102.6688
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,LDH,BEAS-2B,Human,Lung,24 h,0.4,96.3893
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,LDH,BEAS-2B,Human,Lung,24 h,0.8,27.6295
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,CellTiter-Blue®,A549,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,CellTiter-Blue®,A549,Human,Lung,24 h,0.1,98.4071
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,CellTiter-Blue®,A549,Human,Lung,24 h,0.2,97.3451
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,CellTiter-Blue®,A549,Human,Lung,24 h,0.4,87.7876
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,CellTiter-Blue®,A549,Human,Lung,24 h,0.8,83.8938
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,LDH,A549,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,LDH,A549,Human,Lung,24 h,0.1,89.8757
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,LDH,A549,Human,Lung,24 h,0.2,93.7833
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,LDH,A549,Human,Lung,24 h,0.4,94.4938
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,LDH,A549,Human,Lung,24 h,0.8,67.4956
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.1,98.6547
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.2,104.0359
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.4,104.0359
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.8,118.3857
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.1,104.1791
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.2,95.5224
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.4,90.1493
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.8,38.209
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.1,95.2522
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.2,102.3739
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.4,108.3086
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.8,112.1662
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,LDH,BEAS-2B,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,LDH,BEAS-2B,Human,Lung,24 h,0.1,103.6107
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,LDH,BEAS-2B,Human,Lung,24 h,0.2,103.2967
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,LDH,BEAS-2B,Human,Lung,24 h,0.4,103.2967
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,LDH,BEAS-2B,Human,Lung,24 h,0.8,102.9827
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,CellTiter-Blue®,A549,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,CellTiter-Blue®,A549,Human,Lung,24 h,0.1,85.3097
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,CellTiter-Blue®,A549,Human,Lung,24 h,0.2,94.8673
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,CellTiter-Blue®,A549,Human,Lung,24 h,0.4,97.6991
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,CellTiter-Blue®,A549,Human,Lung,24 h,0.8,100.177
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,LDH,A549,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,LDH,A549,Human,Lung,24 h,0.1,87.0337
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,LDH,A549,Human,Lung,24 h,0.2,104.0853
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,LDH,A549,Human,Lung,24 h,0.4,95.9147
,article,25592092,Metal,Ag,Self-synthesized,10,,,-27,,Sphere,LDH,A549,Human,Lung,24 h,0.8,90.9414
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.1,98.0568
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.2,97.4589
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.4,102.8401
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,CellTiter-Blue®,NHBE,Human,Lung,24 h,0.8,109.417
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.1,108.3582
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.2,114.9254
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.4,97.6119
,article,25592092,Metal,Ag,Self-synthesized,10,,,-37,,Sphere,LDH,NHBE,Human,Lung,24 h,0.8,100.2985
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0,100
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.1,102.6706
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.2,99.7033
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.4,102.9674
,article,25592092,Metal,Ag,Self-synthesized,10,,,-26.2,,Sphere,CellTiter-Blue®,BEAS-2B,Human,Lung,24 h,0.8,109.7923
